InChIKey,smiles,ic50_nm,pIC50,ID
OWTKUWJQSMRWJD-QGZVFWFLSA-N,C[C@@H](Nc1ncnc2[nH]c(-c3ccc(C(=O)NCCNCCC(=O)NO)cc3)cc12)c1ccccc1,100.0,7.0,CHEMBL3984573
OWUREEFSSOCYKL-VMPITWQZSA-N,C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(C(=O)/C=C/CN2CCC(C)CC2)CCO4)c1,330.0,6.481486060122112,CHEMBL3114701
OXAZPVDJCIJPFP-UHFFFAOYSA-N,C1=CC(=CC(=C1)Cl)OC2=C(C=C(C=C2)NC3=NC=NC4=C3NC=C4)Cl,8.3,8.080921907623926,56851430
OXCQIYIYJJKVOU-OAHLLOKOSA-N,C[C@@H](Nc1ncnc2[nH]c(-c3ccc(CNCC(=O)NO)cc3)cc12)c1ccccc1,1000.0,6.0,CHEMBL3910297
OXOZNJXEGUXWOO-LSDHHAIUSA-N,COc1cc2c(Nc3ccc(Br)c(Cl)c3Cl)ncnc2cc1OC[C@H]1CN2CCCC[C@H]2CO1,1000.0,6.0,CHEMBL3968192
OYAHQWRTIPQZIR-UHFFFAOYSA-N,COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)OCC4=CC(=CC=C4)F)Cl)OCCCCCCC(=O)NO,10.1,7.995678626217357,24945689
OYSDICXGXOLSBP-RMKNXTFCSA-N,C1=CC(=CC(=C1)Br)NCC2=COC(=N2)/C=C/C3=CC=C(C=C3)C(F)(F)F,230.0,6.638272163982407,156768707
OYULNTIUXDXAGV-UHFFFAOYSA-N,OCCNCc1ccn2ncnc(Nc3ccc4c(cnn4Cc4cccc(F)c4)c3)c12,47.0,7.327902142064282,CHEMBL391321
OZHWQXHMFVYGIW-VOTSOKGWSA-N,CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4nccn4C)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,625.0,6.204119982655925,CHEMBL175840
OZIQEFLVKCIGLR-UHFFFAOYSA-N,CC(C)N(CC#CC(=O)NC1=CC2=C(C=C1)N=CN=C2NC3=CC(=CC=C3)Br)C(C)C,162.0,6.790484985457369,5328958
OZWPBBYNOKRDFB-LFIBNONCSA-N,C1=CC=C(C(=C1)N)NC(=O)/C=C/C2=CC(=CC=C2)C3=CC4=C(C=C3)N=CN=C4NC5=CC(=C(C=C5)OCC6=CC(=CC=C6)F)Cl,14.0,7.853871964321762,49855949
PBDWKKSYCSLCRJ-UHFFFAOYSA-N,CCN(CC)CCNC(=O)c1[nH]c2cnnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2c1C,483.5,7.086315363473087,CHEMBL1087368
PBIJKZCHYCDPPC-UHFFFAOYSA-N,C1=CC(=CC(=C1)F)COC2=C(C=C(C=C2)NC3=C4C=C(SC4=NC=N3)C5=CC=CS5)Cl,43.0,7.366531544420413,44571453
PBQPETHNIUHIBB-UHFFFAOYSA-N,COc1ccc(CC(=O)NS(=O)(=O)c2ccc(F)cc2)cc1,23450.0,4.629857152948898,CHEMBL1828882
PBSHQQJKKJPYHE-UHFFFAOYSA-N,O=C(CCl)OCCn1c(=O)oc2cc3ncnc(Nc4ccc(N5CCOCC5)c(Cl)c4)c3cc21,35.0,7.455931955649724,CHEMBL3982289
PCAULTNLFAMHON-DHZHZOJOSA-N,CCOc1cc2ncc(C#N)c(Nc3ccc4c(ccn4S(=O)(=O)c4ccccc4)c3)c2cc1NC(=O)/C=C/CN(C)C,25.0,7.602059991327962,CHEMBL179164
PCKCQQLBJXBCNU-UHFFFAOYSA-N,O=C(CCCCCCn1cc(-c2ccc3ncnc(Nc4cccc(Cl)c4F)c3c2)nn1)NO,174.9,6.757210190521324,CHEMBL3930620
PDHPVHXAEDIWBQ-UHFFFAOYSA-N,O=C1NCc2cc(Oc3ccc(Nc4ncnc5ccn(CCO)c45)cc3Cl)ccc21,18.0,7.744727494896693,CHEMBL2048790
PDSTVLMICZJXNC-UHFFFAOYSA-N,COc1cc2c(Nc3cc(Cl)c(Br)cc3F)ncnc2cc1OCC1COCCN1C,50.0,7.301029995663981,CHEMBL3958898
PDXFYKHCQHPMFZ-UHFFFAOYSA-N,CC(C)(O)CC(=O)NCCc1ccc2ncnc(Nc3ccc(Oc4cccc(C(F)(F)F)c4)c(Cl)c3)c2c1,19.0,7.721246399047171,CHEMBL4290869
PDXYGSYLHJULFZ-UHFFFAOYSA-N,Fc1cccc(Cn2ncc3cc(Nc4ncnn5ccc(CN6CCCC6)c45)ccc32)c1,360.0,6.443697499232712,CHEMBL391675
PEBATQNNPRRNAH-UHFFFAOYSA-N,CS(=O)(=O)CCNCCCCOC1=CC2=C(C=C1)N=CN=C2NC3=CC=C(C=C3)S(=O)(=O)C4=CC=CC=C4,147.0,6.832682665251824,5329491
PEGQWGLLBPWDAS-UHFFFAOYSA-N,FC(F)(F)Oc1cccc(Oc2ccc(Nc3ncnc4cc[nH]c34)cc2Cl)c1,41.0,7.387216143280264,CHEMBL1922998
PEOYVSCYYMEJBB-UHFFFAOYSA-N,CCCCC#CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cn1,5.4,8.267606240177031,CHEMBL202424
PFBNCPMUCGZALP-UHFFFAOYSA-N,CS(=O)(=O)CCNCCCOC1=CC2=C(C=C1)N=CN=C2NC3=CC=C(C=C3)OCC4=CC=CC=C4,234.0,6.630784142589857,5329486
PFWWSXZJVNFSKD-UHFFFAOYSA-N,COc1cc2c(Nc3ccc(Cl)c(Cl)c3)ncnc2cc1OCC1CN(S(=O)(=O)CCCCl)CCO1,50.0,7.301029995663981,CHEMBL3923692
PGLLJXXZDBFPCN-UHFFFAOYSA-N,Oc1c(Br)cccc1CN(Cc1ccc(F)cc1)C(=S)Nc1ccccc1,1900.0,5.721246399047171,CHEMBL589561
PGZHYLDDJOVDMW-UHFFFAOYSA-N,Cc1ccc(-c2c(CN3CCCCC3)nc3scc(C(=O)O)n23)cc1,146.0,6.835647144215563,CHEMBL5194543
PHYKCHVITBAQIF-UHFFFAOYSA-N,NCC1CCN(Cc2ccn3ncnc(Nc4ccc5c(cnn5Cc5cccc(F)c5)c4)c23)CC1,38.0,7.42021640338319,CHEMBL391778
PIEHGIDXVHAXHW-VGOFMYFVSA-N,CC1=CC=C(C=C1)SCC2=C(C(=CC(=C2)/C=C(\C#N)/C(=O)N)OC)O,1650.0,5.782516055786093,44345648
PILNXPUSWCNKOU-UHFFFAOYSA-N,CS(=O)(=O)CCNC(CS(C)(=O)=O)c1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,52.2,7.282329496997738,CHEMBL3344214
PJCKGQSBZSWGEJ-UHFFFAOYSA-N,Cc1cccc(Oc2ccc(Nc3ncnc4ccc(NC(=O)CN5CCN(C)CC5)cc34)cc2Cl)c1,5.4,8.267606240177031,CHEMBL4763836
PJDCIIPPRINIGB-RMKNXTFCSA-N,CCN(CC)C/C=C/C(=O)NC1=CC2=C(C=C1)N=CN=C2NC3=CC(=CC=C3)Br,1164.0,5.93404701968613,5328970
PKAIPZNLOTUQKE-UHFFFAOYSA-N,C1=CC=C2C(=C1)C=CC=C2NC(=O)C3=CC=C(C=C3)N(CCCl)CCCl,350.0,6.455931955649724,46207042
